ACCRA,"Accra, Ghana"
ABA,"Aba,Nigeria"
ADELA,"Adelaide, Australia"
ALBUQ,"Albuquerque, New Mexico"
MTIMP,"American Fork, Utah"
ANCHO,"Anchorage, Alaska"
SAMOA,"Apia, Western Samoa"
ASUNC,"Asunción, Paraguay"
ATLAN,"Atlanta, Geogria"
BROUG,"Baton Rouge, Louisiana"
SWISS,"Bern, Switzerland"
BILLI,"Billings, Montana"
BIRMI,"Birmingham, Alabama"
BISMA,"Bismarck, North Dakota"
BOGOT,"Bogotá, Colombia"
BOISE,"Boise, Idaho"
BOSTO,"Boston, Massachusetts"
BOUNT,"Bountiful, Utah"
BRISB,"Brisbane, Australia"
BAIRE,"Buenos Aires, Argentina"
CAMPI,"Campinas, Brazil"
CARAC,"Caracas, Venezuela"
ALBER,"Cardston, Alberta"
CHICA,"Chicago, Illinois"
CIUJU,"Ciudad Juárez, Chihuahua"
COCHA,"Cochabamba, Bolivia"
COLJU,"Colonia Juárez, Chihuahua"
COLSC,"Columbia, South Carolina"
COLUM,"Columbus, Ohio"
CRIVE,"Richland, Washington"
COPEN,"Copenhagen, Denmark"
DALLA,"Dallas, Texas"
DENVE,"Denver, Colorado"
DETRO,"Detroit, Michigan"
EDMON,"Edmonton, Alberta"
FRANK,"Frankfurt, Germany"
FRESN,"Fresno, California"
FREIB,"Freiburg, Germany"
FUKUO,"Fukuoka, Japan"
GUADA,"Guadalajara, Jalisco"
GUATE,"Guatemala City, Guatemala"
GUAYA,"Guayaquil, Ecuador"
HALIF,"Halifax, Nova Scotia"
NZEAL,"Hamilton, New Zealand"
NYORK,"Harrison, New York"
HELSI,"Helsinki, Finland"
HERMO,"Hermosillo, Sonora"
HKONG,"Hong Kong, China"
HOUST,"Houston, Texas"
IFALL,"Idaho Falls, Idaho"
JOHAN,"Johannesburg, South Africa"
KONA,"Kialua Kona, Hawaii"
KIEV,"Kiev, Ukraine"
HAWAI,"Laie, Hawaii"
LVEGA,"Las Vegas, Nevada"
LIMA,"Lima, Peru"
LOGAN,"Logan, Utah"
LONDO,"London, England"
LANGE,"Los Angeles, California"
LOUIS,"Louisville, Kentucky"
LUBBO,"Lubbock, Texas"
MADRI,"Madrid, Spain"
MANIL,"Manila, Philippines"
MANTI,"Manti, Utah"
MEDFO,"Medford, Oregon"
MELBO,"Melbourne, Australia"
MEMPH,"Memphis, Tennessee"
MERID,"Mérida, Yucatán"
ARIZO,"Mesa, Arizona"
MEXIC,"Mexico City, D.F."
MONTE,"Monterrey, Nuevo Leon"
MNTVD,"Montevideo, Uruguay"
MONTI,"Monticello, Utah"
MONTR,"Montréal, Québec"
NASHV,"Nashville, Tennessee"
NAUVO,"Nauvoo, Illinois"
NAUV2,"Nauvoo, Illinois"
NBEAC,"Newport Beach, California"
MANHA,"New York, New York"
NUKUA,"Nuku'alofa, Tonga"
OAKLA,"Oakland, California"
OAXAC,"Oaxaca, Oaxaca"
OGDEN,"Ogden, Utah"
OKLAH,"Oklahoma City, Oklahoma"
WINTE,"Omaha, Nebraska"
ORLAN,"Orlando, Florida"
PALMY,"Palmayra, New York"
PAPEE,"Papeete, Tahiti"
PERTH,"Perth, Australia"
PORTL,"Portland, Oregon"
PALEG,"Pôrto Alegre, Brazil"
PREST,"Preston, England"
PROVO,"Provo, Utah"
RALEI,"Raleigh, North Carolina"
RECIF,"Recife, Brazil"
REDLA,"Redlands, California"
REGIN,"Regina, Saskatchewan"
RENO,"Reno, Nevada"
SGEOR,"St. George, Utah"
SLOUI,"St. Louis, Missouri"
SPMIN,"St. Paul, Minnesota"
SLAKE,"Salt Lake City, Utah"
SDIEG,"San Diego, California"
SACRA,"Sacramento, California"
SANTO,"San Antonio, Texas"
SJOSE,"San José, Costa Rica"
SANTI,"Santiago, Chile"
SDOMI,"Santo Domingo, Dominican Republic"
SPAUL,"São Paulo, Brazil"
SEATT,"Seattle, Washington"
SEOUL,"Seoul, Korea"
SNOWF,"Snowflake, Arizona"
JRIVE,"South Jordan, Utah"
SPOKA,"Spokane, Washington"
STOCK,"Stockholm, Sweden"
SUVA,"Suva, Fiji"
SYDNE,"Sydney, Australia"
TAIPE,"Taipei, Taiwan"
TAMPI,"Tampico, Tamaulipas"
HAGUE,"The Hague, Netherlands"
TOKYO,"Tokyo, Japan"
TORON,"Toronto, Ontario"
TGUTI,"Tuxtla Gutiérrez, Chiapas"
VERAC,"Vera Cruz, Vera Cruz"
VERNA,"Vernal, Utah"
VILLA,"Villahermosa, Tabasco"
WASHI,"Washington, D.C."
